year,num
1753,2
1766,1
1768,2
1769,1
1773,1
1775,2
1776,1
1779,1
1781,1
1784,2
1785,1
1787,1
1790,1
1791,1
1792,1
1793,1
1794,1
1795,2
1796,2
1797,1
1798,2
1801,1
1803,3
1804,6
1805,3
1806,1
1807,2
1808,5
1809,1
1810,5
1811,3
1812,4
1813,2
1814,5
1815,2
1817,1
1818,5
1819,3
1820,1
1821,1
1822,8
1823,2
1824,3
1825,3
1826,3
1827,3
1828,2
1829,4
1830,2
1831,2
1832,1
1833,1
1834,3
1835,2
1836,5
1837,5
1838,7
1839,5
1840,7
1841,4
1842,5
1843,7
1844,4
1845,3
1846,7
1847,5
1848,4
1849,3
1850,8
1851,3
1852,8
1853,5
1854,9
1855,9
1856,6
1857,10
1858,8
1859,5
1860,11
1861,6
1862,3
1863,15
1864,4
1865,8
1866,12
1867,8
1868,16
1869,12
1870,6
1871,7
1872,6
1873,10
1874,6
1875,13
1876,9
1877,9
1878,9
1879,14
1880,15
1881,10
1882,9
1883,10
1884,11
1885,7
1886,10
1887,21
1888,15
1889,15
1890,20
1891,10
1892,11
1893,12
1894,10
1895,10
1896,10
1897,12
1898,17
1899,14
1900,17
1901,10
1902,12
1903,22
1904,11
1905,14
1906,13
1907,16
1908,13
1909,11
1910,20
1911,12
1912,12
1913,11
1914,18
1915,13
1916,20
1917,19
1918,15
1919,14
1920,14
1921,18
1922,15
1923,16
1924,18
1925,18
1926,13
1927,16
1928,16
1929,15
1930,20
1931,22
1932,25
1933,30
1934,27
1935,19
1936,35
1937,54
1938,45
1939,32
1940,37
1941,23
1942,20
1943,10
1944,20
1945,11
1946,13
1947,19
1948,20
1949,23
1950,40
1951,20
1952,18
1953,9
1954,22
1955,24
1956,27
1957,18
1958,18
1959,16
1960,30
1961,27
1962,36
1963,34
1964,33
1965,50
1966,26
1967,37
1968,54
1969,70
1970,48
1971,49
1972,32
1973,31
1974,691
1975,337
1976,52
1977,421
1978,262
1979,3046
1980,152
1981,463
1982,344
1983,360
1984,402
1985,378
1986,1375
1987,916
1988,2296
1989,136
1990,1518
1991,877
1992,372
1993,979
1994,719
1995,487
1996,583
1997,1696
1998,2697
1999,1691
2000,1792
2001,1650
2002,2078
2003,3323
2004,1940
2005,875
2006,2456
2007,1189
2008,957
2009,1497
2010,1005
2011,713
2012,234
2013,11
